state,category,material,material_cost,labor_hours,state_labor_rate,labor_cost,complexity,quality,demand_level,demand_factor,total_cost,market_price,recommended_price
Uttar Pradesh,Wooden Toy,Wood,257.53,4.8,70.71,339.41,4,2,Very High,1.2,596.94,716.74,844.61
Rajasthan,Wood Craft,Wood,348.47,6.1,53.5,326.35,3,4,Very High,1.2,674.82,842.57,998.48
Gujarat,Bamboo Craft,Cane,169.46,9.0,73.13,658.17,4,2,Low,0.9,827.63,1287.01,1118.99
Kerala,Textile Craft,Wool,209.58,10.5,83.48,876.54,2,5,Low,0.9,1086.12,1506.61,1457.53
Telangana,Clay/Terracotta Toy,Terracotta,47.94,4.0,74.88,299.52,2,3,Medium,1.0,347.46,505.29,485.28
Andhra Pradesh,Textile Craft,Cotton,192.37,8.4,66.74,560.62,5,2,Very High,1.2,752.99,1113.75,1226.25
Karnataka,Bamboo Toy,Cane,228.82,3.4,70.0,238.0,3,4,Low,0.9,466.82,606.46,581.67
Odisha,Wood Craft,Bamboo,217.7,12.9,50.77,654.93,5,5,Very High,1.2,872.63,1434.74,1521.79
Odisha,Wooden Toy,Bamboo,53.82,2.6,63.9,166.14,3,3,Very High,1.2,219.96,307.52,332.35
Karnataka,Metal Craft,Iron,245.35,14.1,77.39,1091.2,5,4,Medium,1.0,1336.55,2248.84,2059.53
Odisha,Handmade Jewelry,Beads,290.76,8.1,61.99,502.12,4,2,High,1.1,792.88,1229.29,1263.07
Uttar Pradesh,Wooden Toy,Bamboo,153.32,7.0,48.07,336.49,5,1,High,1.1,489.81,635.79,669.37
West Bengal,Clay/Terracotta Toy,Clay,142.56,7.7,76.54,589.36,4,1,Very High,1.2,731.92,874.64,1008.72
Karnataka,Textile Craft,Cotton,249.93,5.6,74.78,418.77,4,4,Low,0.9,668.7,1270.45,1063.83
Gujarat,Home Decor,Clay,76.63,4.5,69.53,312.88,3,2,Very High,1.2,389.51,593.3,598.55
Uttar Pradesh,Home Decor,Wood,102.43,5.4,60.39,326.11,3,4,Medium,1.0,428.54,715.55,634.24
Karnataka,Wood Craft,Wood,264.07,8.0,60.45,483.6,4,1,Very High,1.2,747.67,889.17,1106.6
Gujarat,Wood Craft,Wood,335.88,5.0,81.48,407.4,1,3,Medium,1.0,743.28,1033.91,965.47
Odisha,Bamboo Toy,Cane,246.93,2.6,63.21,164.35,2,2,Low,0.9,411.28,479.63,472.97
West Bengal,Home Decor,Bamboo,53.33,6.6,64.25,424.05,1,4,High,1.1,477.38,788.76,772.1
West Bengal,Textile Craft,Cotton,228.7,11.4,63.91,728.57,5,3,Low,0.9,957.27,1670.3,1475.92
Uttar Pradesh,Textile Craft,Wool,160.3,10.9,66.18,721.36,1,3,Low,0.9,881.66,1428.46,1238.62
West Bengal,Wooden Toy,Bamboo,192.46,7.8,60.07,468.55,5,5,Medium,1.0,661.01,936.12,998.52
Kerala,Bamboo Toy,Bamboo,96.29,2.9,73.08,211.93,4,4,Medium,1.0,308.22,464.25,432.19
Odisha,Bamboo Toy,Cane,164.94,3.3,69.26,228.56,2,1,Low,0.9,393.5,516.48,466.32
Andhra Pradesh,Pottery,Clay,175.17,8.6,53.82,462.85,1,4,High,1.1,638.02,733.45,851.92
Odisha,Handmade Jewelry,Copper,554.7,10.5,46.71,490.45,1,5,Low,0.9,1045.15,1478.89,1437.46
Telangana,Metal Craft,Iron,191.01,7.0,52.26,365.82,3,1,High,1.1,556.83,742.1,818.29
Rajasthan,Wooden Toy,Wood,208.39,2.5,54.09,135.23,4,3,Very High,1.2,343.62,566.96,585.62
Gujarat,Textile Craft,Wool,256.28,3.9,72.33,282.09,5,2,High,1.1,538.37,855.5,862.07
Kerala,Bamboo Craft,Cane,234.57,10.7,87.35,934.64,5,3,Very High,1.2,1169.21,1728.7,1901.61
Gujarat,Wood Craft,Wood,125.86,11.2,55.13,617.46,4,3,Medium,1.0,743.32,1050.77,1019.55
Andhra Pradesh,Clay/Terracotta Toy,Clay,42.37,2.6,78.59,204.33,1,3,Low,0.9,246.7,344.49,311.31
Kerala,Textile Craft,Wool,442.85,9.8,62.71,614.56,1,4,Medium,1.0,1057.41,1778.93,1592.69
Rajasthan,Handmade Jewelry,Brass,411.35,8.6,48.28,415.21,2,5,Low,0.9,826.56,1383.65,1227.79
Andhra Pradesh,Wood Craft,Bamboo,136.26,10.2,71.14,725.63,5,4,Medium,1.0,861.89,1202.99,1215.89
Uttar Pradesh,Wooden Toy,Wood,291.45,8.7,54.21,471.63,2,4,Very High,1.2,763.08,809.89,1007.13
Uttar Pradesh,Metal Craft,Copper,731.01,14.0,45.15,632.1,2,5,Very High,1.2,1363.11,2636.09,2573.74
Tamil Nadu,Clay/Terracotta Toy,Terracotta,79.81,7.9,79.25,626.08,3,1,High,1.1,705.88,1029.3,1012.04
West Bengal,Pottery,Clay,30.64,8.4,57.07,479.39,2,5,Medium,1.0,510.03,832.48,747.09
Telangana,Metal Craft,Copper,718.77,10.8,52.47,566.68,5,1,Low,0.9,1285.45,1843.09,1732.65
Tamil Nadu,Metal Craft,Brass,883.71,10.7,84.52,904.36,4,5,Medium,1.0,1788.07,2494.3,2628.37
Odisha,Bamboo Toy,Bamboo,59.1,3.5,50.04,175.14,5,5,Very High,1.2,234.24,296.0,365.07
Kerala,Wood Craft,Wood,182.11,11.1,77.61,861.47,4,5,Low,0.9,1043.58,1860.79,1605.98
Karnataka,Textile Craft,Wool,225.68,4.6,81.36,374.26,4,1,Low,0.9,599.94,831.12,783.05
Kerala,Wooden Toy,Wood,217.36,4.4,80.27,353.19,3,3,Very High,1.2,570.55,682.84,814.44
Uttar Pradesh,Textile Craft,Silk,604.28,6.1,45.69,278.71,2,4,Low,0.9,882.99,1215.14,1118.86
Kerala,Bamboo Toy,Cane,259.06,2.1,66.62,139.9,2,4,Very High,1.2,398.96,624.31,615.35
Telangana,Wooden Toy,Bamboo,185.99,2.5,74.62,186.55,1,2,Medium,1.0,372.54,451.98,437.84
Rajasthan,Home Decor,Clay,93.9,3.4,58.02,197.27,3,4,Medium,1.0,291.17,493.23,457.93
Gujarat,Textile Craft,Wool,386.56,7.1,84.84,602.36,2,2,Very High,1.2,988.92,1286.35,1421.94
Gujarat,Wooden Toy,Wood,157.91,8.9,78.42,697.94,5,4,Medium,1.0,855.85,1552.26,1414.39
West Bengal,Bamboo Craft,Cane,260.83,4.2,79.23,332.77,3,2,Very High,1.2,593.6,923.32,932.11
Rajasthan,Pottery,Clay,176.79,3.9,74.88,292.03,1,3,Very High,1.2,468.82,743.21,752.33
Telangana,Clay/Terracotta Toy,Clay,145.65,3.6,78.46,282.46,2,5,Very High,1.2,428.11,514.35,635.3
Uttar Pradesh,Pottery,Clay,83.8,5.3,54.98,291.39,5,2,Low,0.9,375.19,625.12,527.35
Uttar Pradesh,Clay/Terracotta Toy,Terracotta,96.61,2.2,66.16,145.55,4,1,Very High,1.2,242.16,339.87,380.99
Telangana,Bamboo Craft,Bamboo,244.35,4.6,78.33,360.32,4,4,Medium,1.0,604.67,861.33,866.92
Uttar Pradesh,Textile Craft,Wool,264.55,7.5,57.35,430.12,4,1,Very High,1.2,694.67,760.81,945.32
Uttar Pradesh,Wooden Toy,Wood,124.65,6.5,67.81,440.76,4,4,Very High,1.2,565.41,807.81,892.18
Karnataka,Bamboo Toy,Bamboo,216.95,3.2,61.62,197.18,2,5,Low,0.9,414.13,707.89,595.73
Uttar Pradesh,Home Decor,Cotton,200.57,8.3,70.96,588.97,3,5,Very High,1.2,789.54,1138.88,1293.38
Telangana,Clay/Terracotta Toy,Clay,47.8,3.7,79.07,292.56,4,3,High,1.1,340.36,478.15,505.29
Karnataka,Wood Craft,Bamboo,228.12,6.7,68.2,456.94,4,3,Low,0.9,685.06,1098.17,1005.7
Andhra Pradesh,Textile Craft,Wool,309.93,6.3,71.7,451.71,3,4,High,1.1,761.64,1234.8,1201.84
Karnataka,Bamboo Craft,Bamboo,198.71,5.9,66.88,394.59,3,2,Very High,1.2,593.3,736.63,865.83
Kerala,Wooden Toy,Bamboo,51.67,5.1,79.64,406.16,3,3,Low,0.9,457.83,687.1,584.82
West Bengal,Pottery,Terracotta,100.8,6.0,74.85,449.1,5,4,High,1.1,549.9,977.28,949.41
Rajasthan,Handmade Jewelry,Brass,814.21,4.6,73.02,335.89,1,1,Low,0.9,1150.1,1464.31,1484.26
Andhra Pradesh,Bamboo Craft,Cane,222.62,6.5,63.28,411.32,5,4,Low,0.9,633.94,892.33,859.56
Rajasthan,Handmade Jewelry,Copper,818.18,11.6,64.17,744.37,3,4,Medium,1.0,1562.55,2686.82,2383.51
Gujarat,Home Decor,Cotton,265.35,9.2,83.82,771.14,1,4,Low,0.9,1036.49,1379.73,1305.94
Andhra Pradesh,Bamboo Craft,Bamboo,188.26,8.2,72.4,593.68,5,1,Medium,1.0,781.94,878.01,959.47
West Bengal,Bamboo Craft,Bamboo,57.97,10.8,63.94,690.55,4,3,Low,0.9,748.52,1235.55,1087.52
Odisha,Metal Craft,Brass,283.33,6.1,51.72,315.49,3,3,Very High,1.2,598.82,862.4,974.56
Rajasthan,Pottery,Terracotta,178.33,7.9,67.36,532.14,2,5,Medium,1.0,710.47,1201.79,1107.22
West Bengal,Home Decor,Clay,57.34,12.2,78.72,960.38,5,1,High,1.1,1017.72,1545.3,1545.71
Gujarat,Home Decor,Bamboo,226.72,6.6,76.45,504.57,4,4,Very High,1.2,731.29,1187.03,1223.39
West Bengal,Pottery,Terracotta,156.22,3.5,67.85,237.47,5,2,Very High,1.2,393.69,676.59,681.57
Telangana,Textile Craft,Wool,159.03,4.5,51.31,230.9,2,1,Medium,1.0,389.93,426.53,468.43
West Bengal,Home Decor,Cotton,110.57,4.3,66.49,285.91,5,3,Low,0.9,396.48,638.99,591.73
Karnataka,Handmade Jewelry,Silver,1388.99,5.5,71.84,395.12,4,1,Medium,1.0,1784.11,3083.85,2829.22
West Bengal,Clay/Terracotta Toy,Terracotta,150.78,5.2,67.8,352.56,5,3,Medium,1.0,503.34,738.49,700.98
Karnataka,Handmade Jewelry,Silver,971.69,5.0,67.76,338.8,1,2,Very High,1.2,1310.49,1755.99,1961.4
Gujarat,Textile Craft,Wool,365.46,9.7,58.99,572.2,1,3,High,1.1,937.66,1460.75,1378.84
Gujarat,Handmade Jewelry,Copper,403.0,5.3,66.65,353.25,1,4,High,1.1,756.25,1140.52,1116.6
Karnataka,Textile Craft,Wool,297.92,8.3,69.59,577.6,1,2,Very High,1.2,875.52,1252.46,1354.35
Telangana,Metal Craft,Copper,282.8,8.8,76.17,670.3,5,1,High,1.1,953.1,1619.52,1535.69
Karnataka,Wood Craft,Bamboo,199.73,13.9,80.15,1114.09,2,4,High,1.1,1313.82,1807.09,1901.16
Rajasthan,Handmade Jewelry,Brass,715.09,11.1,45.94,509.93,5,3,Medium,1.0,1225.02,1882.18,1903.99
Rajasthan,Handmade Jewelry,Beads,230.34,2.6,66.17,172.04,2,4,Medium,1.0,402.38,686.46,643.09
Telangana,Bamboo Toy,Bamboo,225.35,7.5,76.44,573.3,4,2,Very High,1.2,798.65,938.63,1141.1
Uttar Pradesh,Wooden Toy,Bamboo,56.45,7.1,52.27,371.12,3,3,Very High,1.2,427.57,558.71,630.55
Karnataka,Metal Craft,Brass,782.2,8.9,72.43,644.63,2,4,Low,0.9,1426.83,1929.92,1789.26
Tamil Nadu,Textile Craft,Cotton,203.89,5.3,67.4,357.22,3,4,Medium,1.0,561.11,1006.34,907.72
West Bengal,Wooden Toy,Bamboo,88.3,2.5,54.7,136.75,1,3,Very High,1.2,225.05,285.03,309.64
West Bengal,Metal Craft,Brass,625.22,14.2,65.95,936.49,2,4,Medium,1.0,1561.71,2345.31,2201.89
Telangana,Pottery,Terracotta,218.54,8.2,63.13,517.67,2,1,Medium,1.0,736.21,863.54,920.3
Gujarat,Textile Craft,Cotton,261.79,7.4,80.84,598.22,1,1,Low,0.9,860.01,1198.49,1093.73
Kerala,Wooden Toy,Bamboo,160.57,7.9,89.82,709.58,1,3,Very High,1.2,870.15,1348.18,1395.2
Odisha,Metal Craft,Brass,689.19,14.2,51.71,734.28,3,3,Low,0.9,1423.47,2349.79,2094.01
Telangana,Bamboo Toy,Cane,98.67,7.5,76.47,573.52,4,4,Medium,1.0,672.19,1212.3,1073.96
Kerala,Metal Craft,Copper,445.82,11.8,75.41,889.84,5,5,Medium,1.0,1335.66,1783.61,1880.1
Andhra Pradesh,Metal Craft,Copper,305.37,15.4,67.02,1032.11,3,4,Low,0.9,1337.48,2557.85,2128.51
Uttar Pradesh,Pottery,Clay,49.29,8.5,66.56,565.76,5,2,High,1.1,615.05,828.2,865.79
Rajasthan,Home Decor,Bamboo,238.55,13.3,54.27,721.79,2,1,Low,0.9,960.34,1415.32,1200.89
Uttar Pradesh,Home Decor,Cotton,138.37,12.1,59.59,721.04,3,2,High,1.1,859.41,1355.27,1338.44
Karnataka,Wooden Toy,Bamboo,233.77,7.2,78.8,567.36,3,3,Low,0.9,801.13,1250.09,1099.8
Kerala,Wood Craft,Bamboo,197.24,5.1,66.91,341.24,4,2,Low,0.9,538.48,833.26,771.63
Kerala,Wood Craft,Bamboo,59.58,13.9,80.23,1115.2,5,5,High,1.1,1174.78,1544.5,1763.26
Rajasthan,Pottery,Clay,75.3,8.4,66.94,562.3,2,5,High,1.1,637.6,862.4,961.04
Gujarat,Metal Craft,Copper,511.35,4.7,80.97,380.56,4,3,Medium,1.0,891.91,1550.93,1378.96
Odisha,Wooden Toy,Wood,366.7,3.9,48.1,187.59,1,2,Very High,1.2,554.29,845.91,826.24
Odisha,Metal Craft,Copper,693.27,4.7,61.91,290.98,1,3,High,1.1,984.25,1446.75,1397.79
Tamil Nadu,Bamboo Craft,Bamboo,141.35,6.2,56.19,348.38,5,4,Very High,1.2,489.73,775.23,851.32
West Bengal,Home Decor,Clay,162.63,5.0,74.12,370.6,3,2,High,1.1,533.23,650.89,747.82
Telangana,Pottery,Terracotta,64.41,3.5,51.83,181.41,4,2,Very High,1.2,245.81,309.18,349.14
West Bengal,Bamboo Toy,Cane,223.9,5.2,54.19,281.79,5,4,Very High,1.2,505.69,893.23,872.23
Telangana,Home Decor,Clay,70.7,4.7,58.19,273.49,4,4,High,1.1,344.19,619.67,589.8
Tamil Nadu,Bamboo Craft,Cane,278.17,11.8,69.67,822.11,1,4,Low,0.9,1100.28,1471.09,1302.76
Andhra Pradesh,Pottery,Clay,86.47,7.2,70.62,508.46,1,5,Very High,1.2,594.93,794.03,862.54
Andhra Pradesh,Bamboo Craft,Bamboo,114.24,3.7,66.36,245.53,3,3,Very High,1.2,359.77,503.16,556.28
Odisha,Metal Craft,Iron,208.03,7.1,46.86,332.71,1,2,Medium,1.0,540.74,703.83,715.53
Kerala,Handmade Jewelry,Brass,434.76,9.5,68.71,652.74,2,5,High,1.1,1087.5,1693.01,1784.94
Karnataka,Textile Craft,Cotton,90.36,11.9,58.97,701.74,2,4,Low,0.9,792.1,992.27,1001.42
Kerala,Metal Craft,Brass,864.7,9.9,89.32,884.27,3,5,Very High,1.2,1748.97,2391.69,2825.35
Kerala,Bamboo Toy,Bamboo,151.75,2.7,83.81,226.29,2,2,Medium,1.0,378.04,422.43,463.51
Gujarat,Home Decor,Wood,182.32,6.5,66.85,434.52,3,5,High,1.1,616.85,1023.89,974.2
Telangana,Pottery,Clay,44.08,5.2,55.98,291.1,1,1,Very High,1.2,335.18,361.11,441.01
Andhra Pradesh,Clay/Terracotta Toy,Terracotta,219.77,2.7,52.22,140.99,2,3,Medium,1.0,360.76,609.91,549.11
Odisha,Handmade Jewelry,Silver,534.93,9.6,67.63,649.25,3,5,Very High,1.2,1184.18,1709.51,1928.71
Rajasthan,Home Decor,Wood,320.46,9.3,56.62,526.57,2,3,Medium,1.0,847.03,1369.52,1276.64
Odisha,Metal Craft,Iron,378.36,11.3,67.61,763.99,4,2,Low,0.9,1142.35,2028.01,1707.46
Odisha,Pottery,Clay,41.16,3.1,45.02,139.56,5,2,Medium,1.0,180.72,304.05,282.1
Uttar Pradesh,Home Decor,Wood,299.71,12.8,67.92,869.38,5,4,Very High,1.2,1169.09,1887.3,1968.68
Odisha,Bamboo Toy,Bamboo,188.57,4.3,67.74,291.28,5,2,Low,0.9,479.85,774.43,658.33
Karnataka,Home Decor,Clay,113.6,13.4,64.52,864.57,1,2,High,1.1,978.17,1243.63,1401.2
West Bengal,Home Decor,Bamboo,228.33,11.9,65.13,775.05,4,2,Medium,1.0,1003.38,1763.97,1600.33
Uttar Pradesh,Metal Craft,Brass,801.18,13.0,71.0,923.0,2,5,Medium,1.0,1724.18,2424.43,2510.78
Rajasthan,Pottery,Clay,167.87,8.1,50.12,405.97,2,3,Medium,1.0,573.84,839.31,763.12
Andhra Pradesh,Textile Craft,Wool,162.5,11.1,63.3,702.63,3,1,Low,0.9,865.13,1075.46,1097.52
Tamil Nadu,Bamboo Craft,Cane,184.64,7.1,68.88,489.05,1,5,Very High,1.2,673.69,785.63,931.79
Rajasthan,Clay/Terracotta Toy,Terracotta,64.32,7.8,52.72,411.22,5,3,Very High,1.2,475.54,662.33,728.63
Kerala,Bamboo Craft,Cane,216.76,3.7,67.64,250.27,1,5,Medium,1.0,467.03,626.85,598.79
Uttar Pradesh,Bamboo Craft,Cane,230.48,7.8,59.43,463.55,4,3,Medium,1.0,694.03,1082.27,973.45
Kerala,Bamboo Toy,Bamboo,209.7,2.7,76.21,205.77,1,2,Low,0.9,415.47,577.98,499.01
Rajasthan,Bamboo Craft,Bamboo,63.98,6.2,72.63,450.31,5,4,Medium,1.0,514.29,872.71,812.27
Rajasthan,Bamboo Craft,Bamboo,182.86,8.4,50.33,422.77,2,4,Very High,1.2,605.63,755.55,902.96
West Bengal,Bamboo Toy,Cane,117.34,6.9,62.27,429.66,1,3,Medium,1.0,547.0,686.01,678.31
Tamil Nadu,Textile Craft,Silk,581.59,5.7,56.94,324.56,2,3,High,1.1,906.15,1509.25,1434.63
Rajasthan,Bamboo Craft,Cane,118.76,3.9,55.05,214.69,5,4,Very High,1.2,333.45,580.64,595.9
Rajasthan,Wooden Toy,Wood,157.89,4.7,47.87,224.99,5,1,Low,0.9,382.88,512.63,500.65
Tamil Nadu,Handmade Jewelry,Silver,1387.67,9.8,75.92,744.02,4,2,High,1.1,2131.69,3135.29,3197.16
Kerala,Wooden Toy,Bamboo,114.75,5.0,73.75,368.75,2,4,High,1.1,483.5,661.55,720.93
Karnataka,Textile Craft,Cotton,291.52,11.0,56.64,623.04,4,2,Low,0.9,914.56,1310.22,1201.73
Odisha,Wood Craft,Bamboo,163.07,6.0,60.54,363.24,1,4,High,1.1,526.31,703.16,772.55
Odisha,Bamboo Craft,Cane,62.66,11.6,46.9,544.04,5,3,Medium,1.0,606.7,854.57,862.44
Uttar Pradesh,Metal Craft,Brass,534.01,13.0,67.82,881.66,2,3,Low,0.9,1415.67,2425.04,2048.79
Odisha,Home Decor,Wood,388.69,10.4,63.22,657.49,5,2,Medium,1.0,1046.18,1698.0,1538.39
Tamil Nadu,Wooden Toy,Bamboo,133.78,6.9,55.85,385.37,5,1,High,1.1,519.14,676.87,772.22
Rajasthan,Pottery,Terracotta,97.03,4.4,56.28,247.63,3,2,Medium,1.0,344.66,528.41,476.46
Odisha,Wood Craft,Bamboo,89.98,10.9,60.42,658.58,5,1,Medium,1.0,748.56,991.6,1032.46
Karnataka,Wood Craft,Bamboo,110.14,5.9,74.92,442.03,5,4,Very High,1.2,552.17,906.69,959.37
Rajasthan,Wood Craft,Wood,378.98,7.3,63.74,465.3,4,1,Medium,1.0,844.28,1108.55,1113.49
West Bengal,Metal Craft,Iron,354.31,4.6,58.39,268.59,3,5,High,1.1,622.9,985.11,1003.63
Gujarat,Metal Craft,Brass,502.88,7.2,61.52,442.94,3,4,High,1.1,945.82,1268.37,1350.78
Telangana,Handmade Jewelry,Silver,819.61,6.8,77.65,528.02,1,5,Medium,1.0,1347.63,2134.63,1967.34
Andhra Pradesh,Bamboo Toy,Bamboo,166.63,3.7,58.69,217.15,4,4,Very High,1.2,383.78,560.55,606.58
Rajasthan,Bamboo Craft,Cane,218.48,7.9,52.67,416.09,4,2,High,1.1,634.57,838.58,917.25
Karnataka,Pottery,Clay,75.69,6.9,76.28,526.33,4,2,High,1.1,602.02,882.11,863.6
Tamil Nadu,Pottery,Clay,161.16,8.6,79.88,686.97,4,4,High,1.1,848.13,1485.66,1417.91
Andhra Pradesh,Home Decor,Cotton,278.23,13.8,50.76,700.49,3,2,Medium,1.0,978.72,1316.65,1368.24
Telangana,Clay/Terracotta Toy,Terracotta,47.73,2.3,59.06,135.84,5,3,High,1.1,183.57,323.07,300.92
Odisha,Pottery,Clay,100.1,8.9,73.81,656.91,2,2,Low,0.9,757.01,1050.91,925.68
Telangana,Bamboo Toy,Cane,236.68,5.2,70.65,367.38,5,5,Low,0.9,604.06,897.75,813.77
Andhra Pradesh,Bamboo Craft,Cane,196.58,4.9,60.35,295.72,2,1,Medium,1.0,492.3,689.19,633.73
Gujarat,Wood Craft,Bamboo,113.87,6.3,65.93,415.36,4,2,Medium,1.0,529.23,931.82,823.96
Gujarat,Bamboo Toy,Cane,71.24,4.2,58.33,244.99,2,5,Medium,1.0,316.23,479.56,448.56
West Bengal,Pottery,Terracotta,161.09,8.5,54.15,460.27,4,5,High,1.1,621.37,861.66,959.94
Rajasthan,Bamboo Craft,Bamboo,207.47,4.0,53.0,212.0,1,4,Medium,1.0,419.47,633.17,565.33
Gujarat,Wooden Toy,Wood,272.44,9.2,72.65,668.38,2,4,High,1.1,940.82,1286.48,1300.23
Karnataka,Bamboo Toy,Bamboo,196.93,7.9,79.42,627.42,2,4,High,1.1,824.35,1198.48,1200.98
Karnataka,Wood Craft,Bamboo,192.06,3.2,79.92,255.74,1,1,Very High,1.2,447.8,610.09,632.2
West Bengal,Textile Craft,Silk,530.45,11.5,74.28,854.22,5,4,Low,0.9,1384.67,2388.37,2027.36
Tamil Nadu,Bamboo Toy,Cane,230.54,7.0,59.45,416.15,1,1,Low,0.9,646.69,969.09,810.92
Gujarat,Bamboo Toy,Cane,265.54,3.8,80.82,307.12,4,4,Medium,1.0,572.66,812.67,809.12
Karnataka,Pottery,Clay,64.43,4.1,64.93,266.21,1,1,Low,0.9,330.64,417.84,390.86
Kerala,Wooden Toy,Bamboo,66.67,5.6,85.1,476.56,3,2,High,1.1,543.23,856.2,807.49
Karnataka,Wood Craft,Wood,339.67,9.1,66.8,607.88,2,3,High,1.1,947.55,1281.43,1349.73
Telangana,Bamboo Toy,Cane,211.38,2.1,67.31,141.35,3,4,Medium,1.0,352.73,426.96,456.54
Tamil Nadu,Bamboo Craft,Cane,125.43,3.9,74.82,291.8,4,5,Very High,1.2,417.23,572.81,643.9
Andhra Pradesh,Wooden Toy,Bamboo,239.38,7.4,70.43,521.18,2,1,Very High,1.2,760.56,884.82,1038.13
Kerala,Bamboo Toy,Bamboo,210.22,6.4,68.96,441.34,3,5,Medium,1.0,651.56,789.51,848.99
Telangana,Wooden Toy,Wood,174.02,2.2,51.21,112.66,4,3,High,1.1,286.68,397.63,412.67
