state,region,craft_category,material,material_cost,labour_cost,labour_hours,product_size,complexity,current_market_price,demand_score,season_score,recommended_price
West Bengal,East,Bamboo Craft,Cane,201.63,1110.45,18.6,Large,5,1888.83,0.4,0.66,1981.32
Gujarat,West,Handloom Textile,Wool,705.49,852.4,20.9,Large,2,2167.18,0.51,0.87,2380.77
Madhya Pradesh,Central,Metal Craft,Copper,887.12,716.22,15.9,Large,3,2113.58,0.86,0.75,2403.01
Maharashtra,West,Painting,Canvas,361.5,193.96,4.7,Small,2,638.58,0.37,0.7,649.64
Tamil Nadu,South,Stone Carving,Marble,575.82,477.25,10.0,Large,5,1620.2,0.32,0.33,1569.98
Andhra Pradesh,South,Handloom Textile,Cotton,94.47,355.77,6.7,Small,1,473.19,0.45,0.74,467.02
Andhra Pradesh,South,Pottery,Clay,377.56,545.26,11.1,Medium,1,1166.51,0.81,0.98,1274.63
West Bengal,East,Handloom Textile,Silk,787.96,410.11,9.5,Large,4,1620.54,0.35,0.32,1658.0
Andhra Pradesh,South,Bamboo Craft,Cane,293.59,193.59,5.5,Small,4,687.73,0.41,0.48,710.28
Punjab,North,Jewelry,Silver,281.07,240.45,4.1,Small,1,640.9,0.82,0.69,692.89
Uttar Pradesh,North,Jewelry,Beads,218.73,416.61,7.9,Medium,4,750.39,0.31,0.38,703.58
Maharashtra,West,Wooden Toy,Wood,349.41,384.76,8.7,Small,4,1057.67,0.37,0.64,1037.18
Madhya Pradesh,Central,Stone Carving,Marble,201.85,261.77,5.4,Small,2,518.22,0.74,0.33,550.15
Andhra Pradesh,South,Painting,Canvas,361.76,831.01,16.7,Medium,2,1492.31,0.41,0.35,1415.1
Telangana,South,Painting,Canvas,255.02,534.09,11.3,Small,4,1146.2,0.57,0.75,1216.86
Punjab,North,Pottery,Clay,910.83,741.33,12.6,Large,5,2478.33,0.93,0.44,2575.86
Assam,Northeast,Wooden Toy,Wood,56.38,100.98,2.0,Small,2,172.01,0.35,0.52,163.79
Gujarat,West,Painting,Cloth,335.06,137.53,4.1,Small,4,824.9,0.79,0.74,921.93
Karnataka,South,Bamboo Craft,Cane,331.22,144.83,4.1,Small,4,817.64,0.83,0.86,896.41
Telangana,South,Painting,Cloth,288.33,615.43,15.3,Medium,5,1537.48,0.95,0.9,1782.87
Uttar Pradesh,North,Painting,Canvas,314.09,119.86,2.1,Small,3,558.93,0.65,0.88,629.22
Andhra Pradesh,South,Wooden Toy,Wood,446.93,154.34,2.7,Large,3,841.56,0.36,0.52,886.74
Karnataka,South,Wooden Toy,Bamboo,601.69,829.96,19.1,Large,5,2266.0,0.51,0.53,2394.87
Kerala,South,Wooden Toy,Wood,327.05,317.54,9.7,Small,1,785.51,0.65,0.34,807.63
Odisha,East,Pottery,Clay,577.11,261.39,7.8,Medium,1,872.34,0.4,0.83,865.29
Odisha,East,Handloom Textile,Wool,190.65,672.62,20.9,Large,1,922.4,0.88,0.79,976.98
Odisha,East,Pottery,Terracotta,948.78,505.77,12.3,Large,5,2429.39,0.87,0.96,2799.15
Odisha,East,Stone Carving,Soapstone,181.69,101.3,1.9,Small,3,390.54,0.69,0.6,397.69
Andhra Pradesh,South,Metal Craft,Copper,222.42,48.47,1.1,Small,3,321.84,0.34,0.38,323.98
Maharashtra,West,Stone Carving,Marble,311.12,435.6,7.4,Small,4,1222.37,0.56,0.5,1226.71
Odisha,East,Pottery,Clay,929.11,159.56,2.7,Large,2,1177.83,0.33,0.92,1280.35
West Bengal,East,Metal Craft,Brass,121.33,667.59,11.3,Medium,1,898.73,0.67,0.74,958.13
Andhra Pradesh,South,Stone Carving,Soapstone,269.65,422.06,7.4,Small,4,1025.74,0.33,0.5,1067.48
Assam,Northeast,Metal Craft,Bronze,502.75,720.44,18.8,Large,5,1526.2,0.43,0.62,1576.82
Karnataka,South,Metal Craft,Bronze,77.21,697.16,11.7,Small,2,1010.33,0.79,0.68,1133.11
Telangana,South,Pottery,Clay,695.17,384.1,6.7,Large,5,1906.85,0.88,0.96,2168.03
Kerala,South,Metal Craft,Copper,471.32,1511.51,27.0,Large,2,2303.1,0.33,0.32,2342.92
Madhya Pradesh,Central,Stone Carving,Marble,949.31,306.07,6.4,Large,3,1569.9,0.57,0.98,1749.79
West Bengal,East,Painting,Cloth,214.04,213.93,5.6,Small,1,453.25,0.34,0.91,493.42
Uttar Pradesh,North,Jewelry,Beads,398.82,376.79,7.1,Small,1,920.94,0.96,0.89,1035.06
Rajasthan,West,Bamboo Craft,Cane,95.21,554.13,11.5,Small,4,987.04,0.46,0.77,1011.73
West Bengal,East,Jewelry,Terracotta,89.75,383.12,8.4,Small,1,579.84,0.84,0.66,636.17
Tamil Nadu,South,Bamboo Craft,Bamboo,394.13,715.78,17.0,Medium,5,1722.54,0.39,0.32,1733.56
West Bengal,East,Bamboo Craft,Cane,296.43,112.5,3.3,Small,1,411.99,0.31,0.55,407.13
Telangana,South,Stone Carving,Marble,324.99,707.83,17.5,Medium,2,1323.69,0.66,0.85,1446.96
Uttar Pradesh,North,Handloom Textile,Wool,351.83,392.3,11.4,Small,3,1024.57,0.95,0.64,1128.66
Punjab,North,Jewelry,Terracotta,943.23,613.88,15.4,Large,2,1821.13,0.74,0.47,1852.38
Andhra Pradesh,South,Bamboo Craft,Bamboo,151.71,146.91,4.3,Medium,1,359.49,0.75,0.43,396.34
Kerala,South,Stone Carving,Soapstone,518.13,703.39,20.0,Large,2,1402.27,0.43,0.33,1369.56
Telangana,South,Bamboo Craft,Bamboo,179.13,107.58,3.2,Medium,1,334.41,0.62,0.44,347.39
Assam,Northeast,Painting,Canvas,291.64,75.58,1.4,Small,4,517.16,0.74,0.36,567.55
Rajasthan,West,Metal Craft,Brass,71.38,216.74,4.0,Small,1,360.25,0.82,0.43,379.46
Uttar Pradesh,North,Handloom Textile,Silk,351.33,513.34,12.5,Medium,3,1042.8,0.62,0.82,1086.32
Assam,Northeast,Pottery,Terracotta,479.48,789.1,17.4,Medium,5,1724.8,0.67,0.38,1801.88
Gujarat,West,Stone Carving,Marble,134.86,165.27,4.0,Small,3,377.35,0.31,0.53,369.69
Kerala,South,Metal Craft,Brass,91.92,516.32,10.8,Small,5,1003.49,0.78,0.85,1052.94
Gujarat,West,Stone Carving,Soapstone,380.78,623.12,11.9,Medium,5,1584.91,0.6,0.39,1610.38
West Bengal,East,Pottery,Terracotta,662.57,711.95,17.5,Large,2,1683.77,0.99,0.72,1804.75
Telangana,South,Wooden Toy,Bamboo,103.5,128.84,3.7,Small,5,326.28,0.43,0.5,345.02
Punjab,North,Handloom Textile,Silk,124.93,456.97,10.8,Medium,1,717.13,0.99,0.38,820.88
Uttar Pradesh,North,Stone Carving,Soapstone,847.03,905.69,24.0,Large,1,2042.63,0.42,0.77,2126.13
Madhya Pradesh,Central,Metal Craft,Bronze,400.1,345.05,6.5,Medium,4,885.73,0.43,0.53,901.23
Rajasthan,West,Jewelry,Terracotta,215.75,173.95,3.6,Medium,5,582.77,0.5,0.71,606.15
Kerala,South,Handloom Textile,Silk,567.38,152.37,3.8,Large,4,1094.09,0.39,0.34,1068.06
Uttar Pradesh,North,Bamboo Craft,Cane,533.53,307.71,6.1,Medium,5,1332.43,0.83,0.72,1444.77
Assam,Northeast,Wooden Toy,Bamboo,275.37,988.53,18.0,Medium,2,1607.91,0.98,0.39,1833.6
Gujarat,West,Stone Carving,Soapstone,181.49,146.25,2.8,Medium,4,485.27,0.7,0.89,545.05
Uttar Pradesh,North,Handloom Textile,Wool,192.91,157.18,4.5,Medium,2,462.94,0.87,0.77,503.92
Uttar Pradesh,North,Pottery,Terracotta,856.85,697.57,12.8,Large,5,2316.66,0.61,0.56,2373.65
Rajasthan,West,Pottery,Clay,747.99,580.37,15.7,Large,3,2115.72,0.93,0.57,2422.68
Andhra Pradesh,South,Handloom Textile,Cotton,268.48,133.85,2.3,Small,1,463.49,0.74,0.53,508.93
Andhra Pradesh,South,Painting,Paper,267.03,392.04,6.9,Small,4,1003.35,0.85,0.41,1045.63
Gujarat,West,Handloom Textile,Wool,744.91,155.42,3.3,Large,4,1437.02,0.83,0.91,1651.6
Maharashtra,West,Jewelry,Silver,88.72,348.39,10.3,Small,1,506.07,0.58,0.86,524.37
Punjab,North,Pottery,Terracotta,302.79,438.19,8.9,Small,2,910.22,0.79,0.68,971.23
Punjab,North,Painting,Canvas,272.54,1254.05,26.4,Large,2,2017.66,0.58,0.62,2034.4
Assam,Northeast,Pottery,Terracotta,255.18,319.07,6.6,Small,4,723.19,0.31,0.91,748.96
Uttar Pradesh,North,Stone Carving,Soapstone,705.19,1372.62,26.8,Large,5,3005.97,0.41,0.7,3063.01
Gujarat,West,Painting,Canvas,738.61,1565.49,27.1,Large,4,3914.69,0.62,0.38,4192.7
Maharashtra,West,Metal Craft,Brass,224.72,1497.79,26.7,Large,3,2485.24,0.66,0.71,2525.6
Punjab,North,Painting,Paper,167.32,295.36,9.8,Small,3,601.04,0.53,0.58,650.86
Maharashtra,West,Pottery,Terracotta,171.22,250.2,4.8,Small,3,607.62,0.62,0.46,607.63
Rajasthan,West,Stone Carving,Marble,111.74,276.69,6.5,Small,2,581.5,0.94,0.55,646.97
Andhra Pradesh,South,Jewelry,Terracotta,54.58,293.33,8.3,Small,2,485.36,0.97,0.4,504.8
Tamil Nadu,South,Jewelry,Beads,638.25,497.76,10.4,Medium,5,1569.69,0.35,0.82,1681.9
Maharashtra,West,Jewelry,Silver,121.8,96.4,3.1,Small,4,312.17,0.63,0.7,341.23
Gujarat,West,Wooden Toy,Bamboo,333.84,466.81,10.8,Medium,1,927.96,0.58,0.69,943.85
Rajasthan,West,Metal Craft,Copper,562.6,753.95,18.3,Medium,5,2065.02,0.49,0.75,2045.94
Madhya Pradesh,Central,Handloom Textile,Silk,104.65,442.93,8.9,Small,3,567.23,0.32,0.46,574.3
Gujarat,West,Painting,Canvas,91.04,183.59,3.4,Medium,3,358.69,0.42,0.76,354.86
Uttar Pradesh,North,Jewelry,Terracotta,135.11,495.47,8.9,Small,4,986.26,0.88,0.58,1041.33
Kerala,South,Wooden Toy,Bamboo,366.24,793.18,26.1,Large,5,1547.42,0.36,0.45,1493.71
Uttar Pradesh,North,Wooden Toy,Wood,609.75,766.53,13.5,Large,4,1985.08,0.87,0.54,2126.69
Kerala,South,Painting,Canvas,256.6,190.03,3.9,Small,3,607.69,0.59,0.69,626.75
Gujarat,West,Stone Carving,Marble,611.13,513.05,15.0,Medium,3,1899.52,0.91,0.64,2157.15
Rajasthan,West,Jewelry,Beads,318.12,76.12,2.0,Medium,3,556.24,0.68,0.74,573.68
Assam,Northeast,Pottery,Terracotta,342.23,540.09,11.8,Small,5,1025.63,0.42,0.49,1083.97
Karnataka,South,Stone Carving,Marble,218.91,672.7,17.6,Large,1,1156.53,0.69,0.76,1205.38
Punjab,North,Wooden Toy,Wood,53.85,142.5,2.5,Small,2,266.18,0.91,0.72,299.93
Assam,Northeast,Wooden Toy,Wood,111.38,472.45,11.1,Small,2,583.09,0.57,0.66,589.77
Maharashtra,West,Pottery,Clay,493.3,149.09,3.1,Medium,3,859.9,0.47,0.57,868.68
Punjab,North,Stone Carving,Marble,724.0,479.32,10.2,Large,5,1967.36,0.63,0.76,2151.01
Madhya Pradesh,Central,Pottery,Clay,200.37,79.52,2.1,Medium,1,294.97,0.72,0.34,311.53
Odisha,East,Wooden Toy,Bamboo,400.76,756.91,22.8,Large,4,1437.85,0.35,0.81,1506.21
Gujarat,West,Handloom Textile,Cotton,485.25,485.7,8.9,Large,2,1341.66,0.86,0.79,1497.45
Tamil Nadu,South,Metal Craft,Bronze,423.22,276.09,4.8,Large,1,778.32,0.4,0.97,787.81
Punjab,North,Wooden Toy,Bamboo,575.2,1319.96,25.4,Large,4,2962.01,0.86,0.76,3388.98
Uttar Pradesh,North,Stone Carving,Marble,329.72,560.54,15.3,Large,3,1184.08,0.99,0.96,1380.64
Karnataka,South,Jewelry,Beads,373.84,141.12,3.0,Small,4,863.42,0.94,0.32,909.61
Rajasthan,West,Painting,Paper,373.54,682.44,11.7,Small,4,1755.06,0.63,0.9,1855.96
Kerala,South,Metal Craft,Bronze,816.29,162.82,3.4,Large,4,1277.45,0.46,0.38,1316.19
Maharashtra,West,Jewelry,Terracotta,405.49,687.15,21.5,Large,3,1631.5,0.52,0.68,1668.36
Rajasthan,West,Handloom Textile,Cotton,430.5,833.79,17.2,Medium,4,2012.02,0.46,0.32,1916.63
Andhra Pradesh,South,Painting,Paper,854.75,954.02,16.4,Large,4,2782.04,0.86,1.0,3215.43
Rajasthan,West,Wooden Toy,Bamboo,305.08,488.25,10.0,Medium,2,1220.12,0.91,0.99,1367.4
Maharashtra,West,Handloom Textile,Silk,315.96,542.58,14.6,Medium,3,1119.11,0.38,0.55,1106.22
Telangana,South,Metal Craft,Bronze,131.76,45.8,1.5,Small,5,302.49,0.99,0.6,341.97
Andhra Pradesh,South,Pottery,Clay,303.33,1473.73,27.5,Large,4,2625.69,0.36,0.59,2780.44
Maharashtra,West,Handloom Textile,Wool,341.74,434.14,12.4,Medium,4,1442.29,0.99,0.46,1607.33
Maharashtra,West,Wooden Toy,Wood,420.33,391.35,10.6,Medium,2,976.77,0.42,0.45,1014.78
Gujarat,West,Handloom Textile,Silk,414.11,230.39,3.9,Large,5,1264.47,0.92,0.95,1377.38
Rajasthan,West,Painting,Paper,452.84,1139.73,22.4,Large,3,2068.23,0.41,0.87,2089.4
Gujarat,West,Stone Carving,Soapstone,571.06,857.99,18.1,Large,4,1970.95,0.36,0.91,1961.46
Telangana,South,Metal Craft,Copper,361.06,642.43,11.5,Small,1,1296.91,0.87,0.76,1368.81
Madhya Pradesh,Central,Handloom Textile,Silk,192.96,192.74,5.1,Small,5,506.04,0.81,0.65,532.83
Punjab,North,Bamboo Craft,Bamboo,289.14,99.97,1.8,Small,4,564.51,0.65,0.64,619.11
Telangana,South,Metal Craft,Brass,171.73,399.26,8.5,Small,3,807.87,0.49,0.92,869.14
Andhra Pradesh,South,Stone Carving,Marble,556.33,866.14,16.9,Medium,1,1892.97,0.89,0.79,2128.2
Madhya Pradesh,Central,Bamboo Craft,Cane,313.45,152.35,2.7,Small,1,548.38,0.91,0.32,564.64
West Bengal,East,Metal Craft,Bronze,167.29,320.37,9.2,Small,4,701.3,0.87,0.88,740.38
Tamil Nadu,South,Wooden Toy,Bamboo,240.74,742.94,12.5,Medium,4,1547.37,0.74,0.48,1647.56
Maharashtra,West,Stone Carving,Marble,322.95,116.23,2.2,Small,3,630.04,0.68,0.97,697.96
Assam,Northeast,Painting,Canvas,376.21,122.05,2.1,Small,4,637.0,0.78,0.35,687.2
Maharashtra,West,Pottery,Clay,73.57,298.79,7.4,Small,2,556.54,0.73,0.33,611.69
Punjab,North,Metal Craft,Brass,389.11,311.9,9.2,Small,1,768.75,0.83,0.32,799.64
West Bengal,East,Jewelry,Terracotta,530.46,1146.32,22.7,Large,5,2617.48,0.61,0.49,2703.42
Andhra Pradesh,South,Jewelry,Beads,332.78,242.3,4.5,Medium,3,769.71,0.79,0.45,835.86
Assam,Northeast,Jewelry,Beads,669.79,561.85,9.6,Large,5,1704.49,0.41,0.6,1722.34
Karnataka,South,Pottery,Clay,656.36,493.12,12.9,Large,2,1761.3,0.99,0.59,1895.41
Telangana,South,Pottery,Clay,124.59,64.42,1.3,Small,2,239.13,0.56,0.91,268.26
West Bengal,East,Pottery,Clay,114.93,564.96,10.6,Small,4,1016.95,0.84,0.89,1145.02
Maharashtra,West,Painting,Cloth,95.94,80.68,1.4,Small,2,245.67,0.73,0.86,256.99
Telangana,South,Metal Craft,Bronze,150.1,587.86,13.7,Medium,1,769.94,0.44,0.64,797.8
Uttar Pradesh,North,Handloom Textile,Silk,345.95,923.81,23.5,Large,5,1755.59,0.62,0.31,1783.21
Uttar Pradesh,North,Handloom Textile,Silk,217.98,294.5,7.6,Small,5,850.66,0.79,0.9,892.58
Andhra Pradesh,South,Bamboo Craft,Cane,218.18,81.97,2.2,Small,1,396.02,0.99,0.4,437.75
Karnataka,South,Bamboo Craft,Cane,710.07,521.04,17.2,Large,5,1748.4,0.53,0.66,1793.99
Telangana,South,Painting,Canvas,98.59,125.72,3.0,Medium,3,302.28,0.39,0.7,319.59
Madhya Pradesh,Central,Jewelry,Beads,288.13,225.33,6.8,Large,5,656.26,0.75,0.79,747.51
Maharashtra,West,Painting,Canvas,163.66,856.24,16.7,Large,1,1461.19,0.91,0.8,1599.94
Gujarat,West,Stone Carving,Soapstone,335.19,108.0,1.9,Small,1,559.99,0.68,0.87,616.29
Andhra Pradesh,South,Wooden Toy,Bamboo,562.18,704.14,21.7,Large,1,1308.19,0.34,0.47,1357.66
Punjab,North,Bamboo Craft,Cane,304.14,1131.01,28.2,Large,4,1980.88,0.43,0.85,2064.94
Telangana,South,Bamboo Craft,Cane,586.51,788.67,21.4,Large,4,2320.61,1.0,0.98,2569.6
Tamil Nadu,South,Painting,Cloth,460.93,89.67,2.9,Medium,3,786.71,0.48,0.62,831.46
Rajasthan,West,Pottery,Clay,495.92,367.44,9.1,Medium,4,1204.91,0.56,0.99,1346.01
Madhya Pradesh,Central,Painting,Cloth,606.09,724.61,14.0,Large,4,1832.73,0.64,0.91,1964.27
Assam,Northeast,Wooden Toy,Bamboo,146.89,430.28,7.5,Small,3,671.25,0.45,0.74,713.39
Telangana,South,Stone Carving,Marble,153.68,813.25,14.2,Medium,5,1577.99,0.43,0.47,1541.95
Assam,Northeast,Wooden Toy,Bamboo,558.46,385.39,10.3,Medium,1,1049.2,0.91,0.61,1134.22
Andhra Pradesh,South,Stone Carving,Soapstone,618.08,279.61,6.7,Large,4,1509.06,0.98,0.48,1624.44
Punjab,North,Wooden Toy,Wood,513.14,230.47,3.9,Medium,5,1028.35,0.62,0.47,1032.52
Kerala,South,Metal Craft,Copper,556.61,619.99,11.3,Large,4,1775.98,0.6,0.47,1884.15
Tamil Nadu,South,Wooden Toy,Wood,260.32,211.48,6.8,Large,2,640.68,0.82,0.76,728.48
Telangana,South,Wooden Toy,Bamboo,331.98,414.76,7.4,Small,2,877.35,0.44,0.38,840.68
Assam,Northeast,Pottery,Terracotta,235.91,352.34,11.3,Small,2,661.03,0.39,0.62,659.5
Maharashtra,West,Metal Craft,Bronze,546.08,120.58,3.5,Large,3,968.33,0.99,0.98,1160.05
Gujarat,West,Painting,Cloth,273.69,458.24,10.5,Small,4,1187.58,0.66,0.64,1211.7
West Bengal,East,Bamboo Craft,Cane,60.49,225.02,4.4,Small,5,422.69,0.44,0.77,419.52
West Bengal,East,Bamboo Craft,Bamboo,456.66,526.82,9.4,Medium,4,1328.48,0.42,0.78,1441.12
Rajasthan,West,Metal Craft,Brass,462.62,504.77,10.4,Medium,3,1384.34,0.91,0.7,1601.09
Assam,Northeast,Painting,Canvas,466.13,492.35,13.5,Medium,5,1387.5,0.76,0.58,1424.33
Maharashtra,West,Stone Carving,Soapstone,672.59,905.66,28.8,Large,5,3075.89,0.98,0.58,3504.5
Gujarat,West,Painting,Cloth,248.46,512.83,9.1,Small,2,1052.46,0.58,0.53,1130.49
Odisha,East,Jewelry,Silver,506.88,671.85,15.6,Medium,1,1376.65,0.87,0.38,1396.84
Rajasthan,West,Painting,Paper,261.77,335.08,8.0,Medium,4,962.42,0.79,0.57,1006.0
Uttar Pradesh,North,Bamboo Craft,Cane,180.64,112.69,3.5,Small,2,379.67,0.72,0.77,409.08
West Bengal,East,Stone Carving,Marble,292.68,765.62,16.8,Medium,1,1117.92,0.64,0.32,1138.26
West Bengal,East,Painting,Canvas,455.01,814.34,17.7,Large,2,1621.42,0.73,0.84,1807.4
Gujarat,West,Bamboo Craft,Bamboo,615.09,68.16,1.9,Medium,3,977.93,0.31,0.75,965.94
Rajasthan,West,Jewelry,Terracotta,374.46,98.66,1.7,Small,3,673.27,0.55,0.37,670.09
Assam,Northeast,Jewelry,Beads,359.29,567.95,10.5,Large,4,1224.75,0.68,0.52,1321.28
Assam,Northeast,Wooden Toy,Wood,145.42,185.11,5.5,Small,3,350.21,0.43,0.78,364.13
Andhra Pradesh,South,Pottery,Terracotta,298.17,103.44,2.2,Small,1,460.81,0.48,0.97,504.66
Maharashtra,West,Bamboo Craft,Cane,242.58,73.49,1.5,Small,1,461.22,0.97,0.72,536.22
Rajasthan,West,Wooden Toy,Bamboo,207.72,256.15,5.3,Medium,3,720.35,0.59,0.89,759.54
Gujarat,West,Bamboo Craft,Bamboo,318.97,879.62,23.0,Large,4,2061.92,0.88,0.6,2154.07
Odisha,East,Bamboo Craft,Bamboo,268.35,285.59,6.0,Small,1,606.1,0.42,0.82,610.37
Odisha,East,Jewelry,Terracotta,200.4,147.78,3.0,Large,2,397.23,0.72,0.68,421.66
Maharashtra,West,Bamboo Craft,Bamboo,412.91,614.23,10.3,Medium,3,1378.1,0.4,0.79,1412.67
Maharashtra,West,Metal Craft,Bronze,301.16,513.74,8.6,Small,4,1237.66,0.39,0.37,1245.08
Telangana,South,Bamboo Craft,Bamboo,233.53,97.71,3.0,Medium,3,482.65,0.93,0.43,508.31
Odisha,East,Metal Craft,Bronze,278.8,127.6,2.8,Medium,3,448.63,0.35,0.86,464.43
Maharashtra,West,Metal Craft,Brass,572.84,602.45,13.1,Medium,4,1840.11,0.53,0.53,1999.86
Tamil Nadu,South,Handloom Textile,Silk,675.94,887.82,17.1,Large,3,2203.73,0.63,0.34,2385.04
Odisha,East,Metal Craft,Bronze,178.17,493.58,13.7,Medium,1,732.76,0.68,0.37,784.32
Assam,Northeast,Jewelry,Beads,171.65,447.07,8.3,Small,5,897.03,0.95,0.46,941.88
Assam,Northeast,Wooden Toy,Bamboo,635.79,826.96,17.9,Medium,2,1783.21,0.89,0.66,1873.08
Odisha,East,Stone Carving,Marble,754.43,317.74,5.8,Large,2,1216.21,0.85,0.8,1315.17
Odisha,East,Metal Craft,Bronze,341.01,388.29,11.9,Large,2,898.81,0.96,0.69,988.76
Uttar Pradesh,North,Pottery,Clay,330.43,554.74,12.2,Medium,4,1489.95,0.94,0.65,1709.66
Karnataka,South,Stone Carving,Marble,122.98,375.1,11.2,Small,3,792.79,0.87,0.57,896.58
Rajasthan,West,Jewelry,Silver,332.07,379.66,9.7,Small,2,839.26,0.36,0.58,865.3
Punjab,North,Stone Carving,Soapstone,171.13,575.98,11.7,Small,3,1132.26,0.88,0.39,1271.09
Assam,Northeast,Painting,Cloth,529.13,974.18,18.4,Large,3,1658.14,0.42,0.65,1634.86
Punjab,North,Pottery,Terracotta,178.64,52.32,1.7,Small,2,268.87,0.39,0.97,295.29
Punjab,North,Handloom Textile,Wool,483.3,478.95,10.6,Large,4,1393.23,0.61,0.37,1392.75
Assam,Northeast,Stone Carving,Marble,426.97,449.29,13.0,Medium,1,823.37,0.34,0.85,806.61
Telangana,South,Pottery,Terracotta,637.13,132.21,2.6,Medium,3,1097.48,0.99,0.47,1155.75
Odisha,East,Jewelry,Terracotta,249.83,172.6,3.4,Medium,1,462.16,0.34,0.66,484.04
Uttar Pradesh,North,Handloom Textile,Silk,265.33,214.35,4.4,Small,5,680.5,0.67,0.6,750.94
West Bengal,East,Stone Carving,Marble,497.82,307.75,7.5,Large,1,903.94,0.59,0.88,995.56
Uttar Pradesh,North,Painting,Paper,86.18,395.52,8.9,Medium,4,653.66,0.31,0.48,624.56
Tamil Nadu,South,Bamboo Craft,Bamboo,237.36,103.24,3.4,Small,3,479.5,0.47,0.98,533.12
Maharashtra,West,Pottery,Clay,220.75,102.17,2.2,Small,5,493.73,0.62,0.89,530.59
